policy,topology,poisoning_mode,final_score_mean,final_score_std,final_score_count,mean_self_bleu_mean,mean_self_bleu_std,mean_self_bleu_count,peer_contamination_rate_mean,peer_contamination_rate_std,peer_contamination_rate_count,final_score_sem,final_score_ci_low,final_score_ci_high,mean_self_bleu_sem,mean_self_bleu_ci_low,mean_self_bleu_ci_high,peer_contamination_rate_sem,peer_contamination_rate_ci_low,peer_contamination_rate_ci_high
naive_overwrite,full_broadcast,clean,0.06666666666666667,0.11547005383792516,3,0.9326087741136609,0.06285043594348473,3,0.0,0.0,3,0.06666666666666668,0.0,0.3535101819797428,0.036286716110656245,0.776479635988437,1.0,0.0,0.0,0.0
naive_overwrite,full_broadcast,internal,0.08333333333333333,0.14433756729740646,3,0.9503870565778253,0.060566841911381994,3,0.0,0.0,3,0.08333333333333334,0.0,0.4418877274746785,0.034968282481501904,0.7999306805060054,1.0,0.0,0.0,0.0
naive_overwrite,off,clean,0.1111111111111111,0.19245008972987526,3,0.8103965101053511,0.14450447592563742,3,0.0,0.0,3,0.11111111111111112,0.0,0.5891836366329046,0.08342969807477256,0.45142749194620596,1.0,0.0,0.0,0.0
naive_overwrite,off,internal,0.1111111111111111,0.19245008972987526,3,0.8274819478694688,0.15930089906414155,3,0.0,0.0,3,0.11111111111111112,0.0,0.5891836366329046,0.09197241695683153,0.4317565769934059,1.0,0.0,0.0,0.0
naive_overwrite,ring,clean,0.1111111111111111,0.19245008972987526,3,0.8917557375535322,0.13046402546752942,3,0.0,0.0,3,0.11111111111111112,0.0,0.5891836366329046,0.0753234402232403,0.5676651318669031,1.0,0.0,0.0,0.0
naive_overwrite,ring,internal,0.037037037037037035,0.06415002990995841,3,0.9492028758917873,0.03725260621607747,3,0.0,0.0,3,0.037037037037037035,0.0,0.19639454554430155,0.021507802226867455,0.8566622719305913,1.0,0.0,0.0,0.0
raw_trajectory_buffer,full_broadcast,clean,0.037037037037037035,0.06415002990995841,3,0.9925919793806965,0.007931747998290556,3,0.0,0.0,3,0.037037037037037035,0.0,0.19639454554430155,0.004579396841957328,0.972888425058287,1.0,0.0,0.0,0.0
raw_trajectory_buffer,full_broadcast,internal,0.03333333333333333,0.05773502691896258,3,0.9937026725428018,0.006212749909823858,3,0.0,0.0,3,0.03333333333333334,0.0,0.1767550909898714,0.0035869328328446276,0.9782693461983261,1.0,0.0,0.0,0.0
raw_trajectory_buffer,off,clean,0.037037037037037035,0.06415002990995841,3,0.9925919793806965,0.007931747998290556,3,0.0,0.0,3,0.037037037037037035,0.0,0.19639454554430155,0.004579396841957328,0.972888425058287,1.0,0.0,0.0,0.0
raw_trajectory_buffer,off,internal,0.037037037037037035,0.06415002990995841,3,0.9927247372250139,0.007727513682758148,3,0.0,0.0,3,0.037037037037037035,0.0,0.19639454554430155,0.004461482104906933,0.9735285290678456,1.0,0.0,0.0,0.0
raw_trajectory_buffer,ring,clean,0.037037037037037035,0.06415002990995841,3,0.9925919793806965,0.007931747998290556,3,0.0,0.0,3,0.037037037037037035,0.0,0.19639454554430155,0.004579396841957328,0.972888425058287,1.0,0.0,0.0,0.0
raw_trajectory_buffer,ring,internal,0.16666666666666666,0.2886751345948129,3,0.9302835362564883,0.11601687223494368,3,0.0,0.0,3,0.16666666666666669,0.0,0.883775454949357,0.06698237241538316,0.6420816487419164,1.0,0.0,0.0,0.0
structured_incremental,full_broadcast,clean,0.037037037037037035,0.06415002990995841,3,0.9944751948384539,0.005344697255264638,3,0.0,0.0,3,0.037037037037037035,0.0,0.19639454554430155,0.003085762399064093,0.9811982308289271,1.0,0.0,0.0,0.0
structured_incremental,full_broadcast,internal,0.06666666666666667,0.11547005383792516,3,0.9872360811370533,0.018175345126778444,3,0.0,0.0,3,0.06666666666666668,0.0,0.3535101819797428,0.010493540401559889,0.9420860208841049,1.0,0.0,0.0,0.0
structured_incremental,off,clean,0.037037037037037035,0.06415002990995841,3,0.9944751948384539,0.005344697255264638,3,0.0,0.0,3,0.037037037037037035,0.0,0.19639454554430155,0.003085762399064093,0.9811982308289271,1.0,0.0,0.0,0.0
structured_incremental,off,internal,0.037037037037037035,0.06415002990995841,3,0.9947724238839415,0.0051220165859151255,3,0.0,0.0,3,0.037037037037037035,0.0,0.19639454554430155,0.002957197654671826,0.9820486293228168,1.0,0.0,0.0,0.0
structured_incremental,ring,clean,0.037037037037037035,0.06415002990995841,3,0.9944751948384539,0.005344697255264638,3,0.0,0.0,3,0.037037037037037035,0.0,0.19639454554430155,0.003085762399064093,0.9811982308289271,1.0,0.0,0.0,0.0
structured_incremental,ring,internal,0.037037037037037035,0.06415002990995841,3,0.9947724238839415,0.0051220165859151255,3,0.0,0.0,3,0.037037037037037035,0.0,0.19639454554430155,0.002957197654671826,0.9820486293228168,1.0,0.0,0.0,0.0
