policy,topology,poisoning_mode,final_score_mean,final_score_std,final_score_count,mean_self_bleu_mean,mean_self_bleu_std,mean_self_bleu_count,peer_contamination_rate_mean,peer_contamination_rate_std,peer_contamination_rate_count,final_score_sem,final_score_ci_low,final_score_ci_high,mean_self_bleu_sem,mean_self_bleu_ci_low,mean_self_bleu_ci_high,peer_contamination_rate_sem,peer_contamination_rate_ci_low,peer_contamination_rate_ci_high
naive_overwrite,full_broadcast,clean,0.0,0.0,3,0.9987796115882773,0.002113774734071955,3,0.0,0.0,3,0.0,0.0,0.0,0.0012203884117226729,0.9935287040572892,1.0,0.0,0.0,0.0
naive_overwrite,full_broadcast,internal,0.0,0.0,3,0.996338834764832,0.0,3,0.0,0.0,3,0.0,0.0,0.0,0.0,0.996338834764832,0.996338834764832,0.0,0.0,0.0
naive_overwrite,off,clean,0.0033333333333333335,0.005773502691896258,3,0.9992354024205321,0.001324321854982506,3,0.0,0.0,3,0.0033333333333333335,0.0,0.01767550909898714,0.0007645975794678544,0.9959456045581156,1.0,0.0,0.0,0.0
naive_overwrite,off,internal,0.0222012578616352,0.030210094605403012,3,0.9967946255970869,0.0030035296034543455,3,0.0,0.0,3,0.01744180625267349,0.0,0.09724729314553203,0.0017340886250733765,0.9893334444408799,1.0,0.0,0.0,0.0
naive_overwrite,ring,clean,0.0,0.0,3,0.9987796115882773,0.002113774734071955,3,0.0,0.0,3,0.0,0.0,0.0,0.0012203884117226729,0.9935287040572892,1.0,0.0,0.0,0.0
naive_overwrite,ring,internal,0.0,0.0,3,0.9938980579413864,0.002113774734072147,3,0.0,0.0,3,0.0,0.0,0.0,0.0012203884117227837,0.9886471504103979,0.999148965472375,0.0,0.0,0.0
raw_trajectory_buffer,full_broadcast,clean,0.04380125293192003,0.03653841899189832,3,0.9992910642664846,0.00018801486821588319,3,0.0,0.0,3,0.021095466040735828,0.0,0.1345677174763043,0.00010855043477609217,0.9988240094419856,0.9997581190909837,0.0,0.0,0.0
raw_trajectory_buffer,full_broadcast,internal,0.0321848739495798,0.023693455764325903,3,0.9991627678466051,0.0004849099641756572,3,0.0,0.0,3,0.013679423063566051,0.0,0.09104268093470064,0.00027996289834954745,0.9979581847178077,1.0,0.0,0.0,0.0
raw_trajectory_buffer,off,clean,0.026375404530744332,0.015187995683090516,3,0.9993000211108498,0.00015841160801161253,3,0.0,0.0,3,0.008768793396083184,0.0,0.06410447737254314,9.145898452826598e-05,0.9989065048614141,0.9996935373602855,0.0,0.0,0.0
raw_trajectory_buffer,off,internal,0.023202614379084968,0.015319653560404569,3,0.9992236328078169,0.0003219174292858874,3,0.0,0.0,3,0.008844806106991386,0.0,0.06125874351896456,0.0001858591144550394,0.998423945581668,1.0,0.0,0.0,0.0
raw_trajectory_buffer,ring,clean,0.0667311723915497,0.010159805252984029,3,0.9992974782941514,0.00020388254883447652,3,0.0,0.0,3,0.005865766297724504,0.041492817018885735,0.09196952776421366,0.00011771164445265205,0.9987910059658301,0.9998039506224726,0.0,0.0,0.0
raw_trajectory_buffer,ring,internal,0.04500847588226226,0.02859941793999459,3,0.9994813381232305,0.00021435354489581174,3,0.0,0.0,3,0.01651188164632249,0.0,0.11605336852023135,0.00012375707684734744,0.9989488543987141,1.0,0.0,0.0,0.0
structured_incremental,full_broadcast,clean,0.15584972893350782,0.054844157387695575,3,0.997560957237518,0.0,3,0.0,0.0,3,0.031664289031264246,0.019609289299251098,0.29209016856776454,0.0,0.997560957237518,0.997560957237518,0.0,0.0,0.0
structured_incremental,full_broadcast,internal,0.0,0.0,3,0.997763072098324,0.0,3,0.0,0.0,3,0.0,0.0,0.0,0.0,0.997763072098324,0.997763072098324,0.0,0.0,0.0
structured_incremental,off,clean,0.18014421215640727,0.040023918922480604,3,0.997560957237518,0.0,3,0.0,0.0,3,0.023107820363917935,0.08071928579026767,0.2795691385225469,0.0,0.997560957237518,0.997560957237518,0.0,0.0,0.0
structured_incremental,off,internal,0.14167210503417396,0.02354323189392664,3,0.997763072098324,0.0,3,0.0,0.0,3,0.013592691271552328,0.08318747483071241,0.2001567352376355,0.0,0.997763072098324,0.997763072098324,0.0,0.0,0.0
structured_incremental,ring,clean,0.16988055555899886,0.025235795653832507,3,0.997560957237518,0.0,3,0.0,0.0,3,0.014569893413954586,0.10719136389006532,0.2325697472279324,0.0,0.997560957237518,0.997560957237518,0.0,0.0,0.0
structured_incremental,ring,internal,0.0853113983548766,0.07650428404932032,3,0.9977970920156468,5.8924225272265326e-05,3,0.0,0.0,3,0.04416976899003468,0.0,0.2753585754698973,3.401991732273254e-05,0.9976507161255141,0.9979434679057795,0.0,0.0,0.0
