policy,topology,poisoning_mode,final_score_mean,final_score_std,final_score_count,mean_self_bleu_mean,mean_self_bleu_std,mean_self_bleu_count,peer_contamination_rate_mean,peer_contamination_rate_std,peer_contamination_rate_count,final_score_sem,final_score_ci_low,final_score_ci_high,mean_self_bleu_sem,mean_self_bleu_ci_low,mean_self_bleu_ci_high,peer_contamination_rate_sem,peer_contamination_rate_ci_low,peer_contamination_rate_ci_high
naive_overwrite,full_broadcast,clean,1.0,0.0,3,0.9916169646805667,0.007683178780958347,3,0.0,0.0,3,0.0,1.0,1.0,0.004435885337418323,0.9725308905249047,1.0,0.0,0.0,0.0
naive_overwrite,full_broadcast,internal,0.6825396825396824,0.5498573992282151,3,0.9983233929361134,0.0029039686189805515,3,0.0,0.0,3,0.3174603174603175,0.0,1.0,0.0016766070638866474,0.9911095349760537,1.0,0.0,0.0,0.0
naive_overwrite,off,clean,1.0,0.0,3,0.9966467858722267,0.0029039686189805515,3,0.0,0.0,3,0.0,1.0,1.0,0.0016766070638866474,0.989432927912167,1.0,0.0,0.0,0.0
naive_overwrite,off,internal,0.6825396825396824,0.5498573992282151,3,0.9983233929361134,0.002903968618980576,3,0.0,0.0,3,0.3174603174603175,0.0,1.0,0.0016766070638866612,0.9911095349760536,1.0,0.0,0.0,0.0
naive_overwrite,ring,clean,1.0,0.0,3,0.9954263974605041,0.005091513291332857,3,0.0,0.0,3,0.0,1.0,1.0,0.0029395865693335826,0.9827783772837828,1.0,0.0,0.0,0.0
naive_overwrite,ring,internal,0.6825396825396824,0.5498573992282151,3,0.9937497903966174,0.0033692934512233284,3,0.0,0.0,3,0.3174603174603175,0.0,1.0,0.001945262481042632,0.9853800014725838,1.0,0.0,0.0,0.0
raw_trajectory_buffer,full_broadcast,clean,1.0,0.0,3,0.9990079923372193,0.0002653285025464005,3,0.0,0.0,3,0.0,1.0,1.0,0.00015318748236884465,0.9983488797980496,0.9996671048763889,0.0,0.0,0.0
raw_trajectory_buffer,full_broadcast,internal,0.684044233807267,0.5472514399901667,3,0.9986920928956052,0.0007518644752606138,3,0.0,0.0,3,0.3159557661927331,0.0,1.0,0.00043408915718583214,0.9968243579985081,1.0,0.0,0.0,0.0
raw_trajectory_buffer,off,clean,0.6940928270042194,0.529846766028454,3,0.998743949596807,0.00016810997683031756,3,0.0,0.0,3,0.30590717299578063,0.0,1.0,9.70583403764456e-05,0.9983263412636465,0.9991615579299675,0.0,0.0,0.0
raw_trajectory_buffer,off,internal,0.3735747820254862,0.5426130116935518,3,0.9985309689020253,0.0004447724150210717,3,0.0,0.0,3,0.3132777683670657,0.0,1.0,0.0002567894735405357,0.9974260929727389,0.9996358448313117,0.0,0.0,0.0
raw_trajectory_buffer,ring,clean,1.0,0.0,3,0.9990582555580797,0.0002105980035326637,3,0.0,0.0,3,0.0,1.0,1.0,0.00012158881403038116,0.9985351011154914,0.999581410000668,0.0,0.0,0.0
raw_trajectory_buffer,ring,internal,0.6846846846846847,0.5461421465307271,3,0.9986735390781516,0.0007813746264675546,3,0.0,0.0,3,0.31531531531531537,0.0,1.0,0.00045112685092898596,0.9967324969015627,1.0,0.0,0.0,0.0
structured_incremental,full_broadcast,clean,0.04976404976404974,0.003715252697487919,3,0.997581706015965,8.777504196063617e-06,3,0.0,0.0,3,0.0021450021450021336,0.04053485042965223,0.05899324909844725,5.067694410410399e-06,0.9975599014867768,0.9976035105451532,0.0,0.0,0.0
structured_incremental,full_broadcast,internal,0.046172753263217764,0.0016059811477823081,3,0.9978573910953856,7.145687815664243e-05,3,0.0,0.0,3,0.0009272136479855798,0.042183274929701094,0.050162231596734434,4.1255647839187796e-05,0.9976798823695949,0.9980348998211763,0.0,0.0,0.0
structured_incremental,off,clean,0.04036538855343644,0.010556167277448562,3,0.9975990074732745,2.2030936836011077e-06,3,0.0,0.0,3,0.0060946060192456466,0.01414241532830662,0.06658836177856625,1.2719567312770638e-06,0.9975935346851725,0.9976044802613764,0.0,0.0,0.0
structured_incremental,off,internal,0.03286242300708014,0.005611101083459957,3,0.9977990482085933,8.490344840372799e-05,3,0.0,0.0,3,0.0032395707209858073,0.018923675201386853,0.04680117081277342,4.901902879101986e-05,0.9975881363505585,0.9980099600666281,0.0,0.0,0.0
structured_incremental,ring,clean,0.36507936507936506,0.549857399228215,3,0.9975856963206615,1.0030370495433892e-05,3,0.0,0.0,3,0.31746031746031744,0.0,1.0,5.7910371056104375e-06,0.9975607794990513,0.9976106131422717,0.0,0.0,0.0
structured_incremental,ring,internal,0.0331854550770597,0.013770420594104866,3,0.9977863959992584,0.00011191245811539536,3,0.0,0.0,3,0.007950356036860812,0.0,0.06739307618111506,6.461268781859624e-05,0.9975083900416427,0.9980644019568742,0.0,0.0,0.0
